requirement_id,source_section,requirement_text,status,implementation_evidence,test_evidence,gap
REQ-13,item 13,Import VERIFIED_SOURCE_REGISTRY.json as registry baseline,PASS,"src/registries/source-registry.json, 11 records derived from the original file, imported into code (unlike Wave 3's finding that it was NOT imported)",run_registry_schema.js: 0 errors,
REQ-14,item 14,Phase-registry for Phase 0-12 status,PASS,"src/registries/phase-registry.json, 13 phases, conservative status (0 VERIFIED_IMPLEMENTED)",run_registry_schema.js: 0 errors,
REQ-15,item 15,Capability-inspector metadata,PASS,src/registries/capability-registry.json (29 rows) + src/components/CapabilityInspector.js,"run_capability_inspector.js: 3/3 cases, 0 mismatches",
REQ-16,item 16,CriticalGate contracts (NOT_ASSESSED until evidence),PASS,"src/registries/critical-gate-registry.json, 16 gates, all default NOT_EVALUATED","run_critical_gate_path.js: 64/64 records, 0 fabricated",
REQ-17,item 17,Regulatory rules become REFERENCE_RULE_NEEDS_VERIFICATION,PASS,"src/registries/rule-registry.json, the 1 actually-evidenced rule correctly tagged",run_registry_schema.js: 0 false verification claims,
REQ-18,item 18,Preserve RE-GOLD-001/002 as immutable characterization fixtures,PASS,"tests/characterization/fixtures/*.json, hashed in FIXTURE_SHA256SUMS","run_all.js: 4/4, 0 mismatches, fixture hashes unchanged",
REQ-19,item 19,Run npm ci / typecheck / lint / test / build,PARTIAL,"npm test runs (13 scripts, all exit 0); no typecheck (no TypeScript per REQ-08), no lint config, no build tooling",13/13 test exit codes = 0,BUILD_STATUS=NOT_CONFIGURED is explicitly non-blocking per this Wave's own Section 30/38 (post-Rebase task)
REQ-20,item 20,Persist raw logs and exact changed-file list,PASS,"REBASE_CHANGE_MANIFEST.csv (50+ rows), stdout logs in characterization/evidence/",direct file inspection,
GATE-A,gate A,No formula regression unless approved/documented,PASS,0 formula changes across all Waves A-C4,run_all.js: 0 field mismatches throughout,
GATE-B,gate B,No React component contains core formulas,PASS,"FINANCIAL_FORMULAS_IN_UI=0, verified by direct grep of App.jsx",grep confirms 0 NOI=/irr=comput.../npv=comput.../dscrMin= assignments,
GATE-C,gate C,No fake connector/API,PASS,"source-registry.json: 11/11 NOT_CONNECTED, LIVE_CONNECTED_SOURCES=0",run_registry_schema.js confirms 0 false live claims,
GATE-D,gate D,No fake persistence or auth,PASS,"window.storage calls are real; zero auth code exists (confirmed, not simulated)",run_saved_deal_compatibility.js + migration test both pass,
GATE-E,gate E,No future module marked IMPLEMENTED because route/page exists,PASS,navigation-registry.json: 8/11 items NOT_IMPLEMENTED despite having nav_id/route entries,run_navigation_qa.js: 0 false implementation claims,
GATE-F,gate F,Bilingual architecture must exist,PASS,"src/i18n/{ar-SA,en}.json + terminology-registry.json (24 terms) -- CHANGED from Wave-1 FAIL: i18n foundation now genuinely exists","run_locale_invariance.js: AR_SA_RTL=true, EN_LTR=true",
GATE-G,gate G,Source registry classification enforced in types/contracts,PASS,"src/registries/source-registry.json is now imported into the actual code tree (src/registries/), not merely a sibling file -- CHANGED from Wave-1 FAIL",run_registry_schema.js validates it programmatically,
GATE-H,gate H,Characterization TESTS must cover both unlevered and levered baselines,PASS,"13 executable test scripts now exist under tests/characterization/ and tests/architecture/, npm test is the canonical command -- CHANGED from Wave-1 FAIL: this is now a genuine permanent test suite, not merely audit-time scripts","all 13 scripts exit 0, covering both financing states across both studies",
GATE-I,gate I,Git status clean after final commit,NOT_APPLICABLE,"no commit has been made in any Wave (explicitly NO_COMMIT=TRUE throughout) -- this gate applies only at actual commit time, which has not occurred",N/A,
GATE-J,gate J,Return final commit hash and repository tree,NOT_APPLICABLE,same reason as GATE-I -- no commit exists yet,N/A,
