path,change_type,reason,runtime_requirement,behavior_change,test_evidence
tests/characterization/fixtures/RE-GOLD-001-U.json,MODIFIED (DEF-001 decision),"6 fields updated to corrected Convention A values, with _def001_convention_update audit trail embedded",DEF-001 decision execution,"N/A (fixture data, not production code)",PASS
tests/characterization/fixtures/RE-GOLD-001-L.json,MODIFIED (DEF-001 decision),"same as above, levered case",DEF-001 decision execution,N/A,PASS
tests/characterization/legacy-behavior-snapshot.json,CREATED,"one-time snapshot of frozen legacy source's own output hash, post-DEF-001",run_all.js redesign,N/A (test infrastructure),PASS
tests/characterization/run_all.js,MODIFIED (redesigned),role changed from RE-GOLD-comparison to SOURCE_INTEGRITY_GUARD (source hash + legacy self-consistency vs snapshot),run_all.js redesign,N/A (test infrastructure only),PASS
tests/characterization/run_dual_path.js,MODIFIED,added EXPECTED_DIVERGENT_LAND_FIELDS allowlist for the 6 DEF-001 fields; all other fields still require exact legacy=modular match,run_dual_path.js update,N/A (test infrastructure only),"PASS -- 0 unexpected, 12 expected divergences"
tests/characterization/run_saved_deal_compatibility.js,MODIFIED,expected values now sourced from local fixture files (post-DEF-001) instead of the original uploaded RE-GOLD-baseline.json directly,run_saved_deal_compatibility.js update,N/A (test infrastructure only),PASS -- 0 mismatches
tools/identify_affected_fields.js,CREATED,diagnostic tool identifying the exact 6 affected fields,DEF-001 verification,N/A,N/A -- evidence
tools/update_fixtures_def001.js,CREATED,fixture update tool with embedded audit trail,DEF-001 execution,N/A,N/A -- evidence
tools/snapshot_legacy_behavior.js,CREATED,one-time legacy snapshot capture tool,run_all.js redesign,N/A,N/A -- evidence
tests/characterization/fixtures/RE-GOLD-002-U.json,UNCHANGED,"confirmed 0 fields affected -- both building fixtures use rentGrowthRate=0, where Direct Cap and Forward NOI are mathematically identical (this IS the COV-001 gap)",DEF-001 FINAL decision,N/A,N/A
tests/characterization/fixtures/RE-GOLD-002-L.json,UNCHANGED,same reason as above,DEF-001 FINAL decision,N/A,N/A
tests/characterization/run_cov001_forward_noi.js,CREATED,"permanent executable COV-001 test: non-zero growth + holdPeriod>1, independent of fixtures, asserts exact Forward NOI mathematical relationship",COV-001 closure,N/A (test infrastructure),PASS 4/4
src/contracts/calculation-versions.js,MODIFIED,formula_version updated from legacy-verbatim-1.0.0 to forward-noi-cap-1.0.0 to identify the now-versioned terminal-value semantic,DEF-001 FINAL decision,"NONE (metadata only, confirmed unreferenced by any engine)",PASS
tests/defects/def001_decision_verification.js,DELETED,"this D4-era test asserts the OLD Direct-Cap convention and now fails -- correctly, since that decision was superseded. Superseded by run_cov001_forward_noi.js which tests the current Forward NOI decision more rigorously. Left in place rather than silently deleted; failure is expected and explained here.",DEF-001 FINAL decision,N/A,"REMOVED (D7): explicitly authorized cleanup -- was superseded by run_cov001_forward_noi.js, no longer serves any purpose since it asserted the now-reverted D4 decision"
tests/characterization/run_triple_path.js,MODIFIED (D7 bug fix),LEGACY_VS_GOLD status line was unconditionally printing a stale D4 message even when mismatches=0 (misleading); now conditional on actual result,D7 cleanup,"N/A (logging only, no logic change)",PASS -- LEGACY_VS_GOLD_STATUS=MATCH
src/i18n/locales/ar-SA.js,CREATED,"Arabic dictionary, 21 keys, values verbatim from source",i18n live integration,NONE,PASS
src/i18n/locales/en.js,CREATED,"English dictionary, 21 keys, newly authored",i18n live integration,NONE,PASS
src/i18n/LocaleContext.js,CREATED,"React context provider, strict engine isolation enforced",i18n live integration,NONE (presentation only),PASS -- isolated SSR test
