inventory_id,surface,component,subsurface,string_kind,current_text,dynamic_or_static,trigger_condition,semantic_owner,semantic_code,raw_or_display,source_producer,source_consumer,locale_strategy,user_content_exception,implementation_status,notes
R6-DEAL-013,SAVED_DEALS,DealsPanel,note,static,يُحفظ هذا خاصاً بك داخل هذا التطبيق، ويبقى متاحاً عند فتحه لاحقاً.,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-ERR-001,SAVED_DEALS,App,dealsError,static,تعذّر العثور على الصفقة,dynamic_bilingual_payload_missing,"onLoadDeal, deal not found",R6-ERROR,DEAL_NOT_FOUND,DISPLAY_ONLY,setDealsError line 1427,dealsError JSX line 1282,"NEW_KEY_REQUIRED (currently AR-only string, no message_en counterpart)",FALSE,LOCALIZED_R6B,"unlike ValidationError, this is a plain string, not a bilingual object -- needs restructuring to support en"
R6-ERR-002,SAVED_DEALS,App,dealsError,static,تعذّر تحميل الصفقة,dynamic_bilingual_payload_missing,"onLoadDeal, storage.get throws",R6-ERROR,DEAL_LOAD_FAILED,DISPLAY_ONLY,setDealsError line 1436,dealsError JSX line 1282,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6B,same restructuring need as R6-ERR-001
R6-ERR-003,SAVED_DEALS,App,dealsError,static,تعذّر الحفظ، حاول مرة أخرى,dynamic_bilingual_payload_missing,"onSaveNew, storage.set throws",R6-ERROR,DEAL_SAVE_FAILED,DISPLAY_ONLY,setDealsError line 1455,dealsError JSX line 1282,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6B,
R6-ERR-004,SAVED_DEALS,App,dealsError,static,تعذّر تحديث الصفقة,dynamic_bilingual_payload_missing,"onUpdateActive, storage.set throws",R6-ERROR,DEAL_UPDATE_FAILED,DISPLAY_ONLY,setDealsError line 1473,dealsError JSX line 1282,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6B,
R6-ERR-005,SAVED_DEALS,App,dealsError,static,تعذّر الحذف,dynamic_bilingual_payload_missing,"onDeleteDeal, storage.delete throws",R6-ERROR,DEAL_DELETE_FAILED,DISPLAY_ONLY,setDealsError line 1488,dealsError JSX line 1282,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6B,
R6-DEAL-014,SAVED_DEALS,App,default_deal_name,static,صفقة,static,"onUpdateActive, no pre-existing name found (edge case)",R6-SAVED-DEALS,,RAW_DOMAIN (persisted to storage as record.name),App line 1467,"stored as record.name, later displayed as d.name",REQUIRES_SCHEMA_CAUTION,FALSE,LOCALIZED_R6A,"CRITICAL: this value is PERSISTED into the Saved Deal record itself, not just displayed live -- translating it changes what future loads of this exact deal show; must be resolved as a schema-touching decision, not a simple presentation swap"
R6-VAL-001,VALIDATION,numeric-safety.js,ValidationError,dynamic,FINITE_NUMBER_REQUIRED bilingual message,dynamic_bilingual_payload,non-finite numeric field,R6-VALIDATION,FINITE_NUMBER_REQUIRED,DISPLAY_ONLY (message text); rule is RAW_DOMAIN,requireFinite(),"App buildingResults/landResults catch -> disclosure UI (R6_VALIDATION_DISCLOSURE, already closed)",ALREADY_BILINGUAL_REUSE_EXISTING,FALSE,LOCALIZED_R6C,closed in prior R6 targeted fix
R6-VAL-002,VALIDATION,numeric-safety.js,ValidationError,dynamic,OUT_OF_RANGE bilingual message,dynamic_bilingual_payload,"occupancyRate outside [0,1]",R6-VALIDATION,OUT_OF_RANGE,DISPLAY_ONLY; rule is RAW_DOMAIN,requireRange(),same as above,ALREADY_BILINGUAL_REUSE_EXISTING,FALSE,LOCALIZED_R6C,closed in prior R6 targeted fix
R6-VAL-003,VALIDATION,numeric-safety.js,ValidationError,dynamic,STRICTLY_POSITIVE_REQUIRED bilingual message,dynamic_bilingual_payload,maxPaybackThreshold<=0,R6-VALIDATION,STRICTLY_POSITIVE_REQUIRED,DISPLAY_ONLY; rule is RAW_DOMAIN,validateEngineInputs(),same as above,ALREADY_BILINGUAL_REUSE_EXISTING,FALSE,LOCALIZED_R6C,closed in prior R6 targeted fix
R6-VAL-004,VALIDATION,App,disclosure_title,static,قيمة إدخال غير صالحة,static,activeValidationError!=null,R6-VALIDATION,,DISPLAY_ONLY,t() call,App main render,REUSE_EXISTING_KEY (validationDisclosure.title),FALSE,LOCALIZED_R6C,closed in prior R6 targeted fix
R6-VAL-005,VALIDATION,App,disclosure_suffix,static,النتائج المعروضة أدناه هي آخر نتيجة محسوبة صحيحة، وليست محدَّثة وفق القيمة الحالية.,static,activeValidationError!=null,R6-VALIDATION,,DISPLAY_ONLY,t() call,App main render,REUSE_EXISTING_KEY (validationDisclosure.messageSuffix),FALSE,LOCALIZED_R6C,closed in prior R6 targeted fix
R6-ERR-006,STORAGE,create-storage-provider.js,PersistenceUnavailableError,static,لا توجد وسيلة تخزين متاحة في هذه البيئة,static,neither host nor browser storage available,R6-ERROR,,DISPLAY_ONLY (Error.message),PersistenceUnavailableError constructor,"NOT_CURRENTLY_RENDERED_ANYWHERE (thrown, not caught+displayed in App)",NEW_KEY_REQUIRED_IF_EVER_SURFACED,FALSE,LOCALIZED_R6B,classified UNREACHABLE_CURRENT_UI -- no catch site renders this to the user currently; only relevant if/when a future catch surfaces it
R6-MISC-001,GENERAL_APP,App,lang_toggle_title,static,Switch to English / التبديل إلى العربية,dynamic_locale_branch,locale toggle button,APPROVED-INVARIANT,,APPROVED_INVARIANT,ternary in JSX (pre-existing),lang toggle button title,APPROVED_INVARIANT_NO_CHANGE,FALSE,N/A,"intentional: button shows the DESTINATION language name, not the current one -- this is correct design, not a leak"
R6-GAP-001,GENERAL_APP,App,reset_button_title,static,التراجع عن التعديلات غير المحفوظة,static,activeDealId!=null,R6-SAVED-DEALS,,DISPLAY_ONLY,ternary in JSX line 1551,reset button title attr,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,"matches the PRE-EXISTING documented i18n gap from the original session summary (actions.reset conditional branch) -- confirmed still present, now formally in-scope under R6 since it's Saved-Deal-state-dependent"
R7-DEFER-001,GENERAL_APP,App,section_label,static,المدخلات,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1585,App main render,N/A,FALSE,LOCALIZED_R7,"general input-column heading, not Saved-Deals/Validation/Error/Warning -- outside R6 scope by definition, belongs to a general R7-style sweep"
R7-DEFER-002,GENERAL_APP,App,note,static,— كل قيمة قابلة للتعديل وتُحدَّث النتائج فوراً,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1586,App main render,N/A,FALSE,LOCALIZED_R7,"general helper note, outside R6 scope"
R7-DEFER-003,GENERAL_APP,App,footer_note,static,جميع المبالغ بالريال السعودي,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1612,App main render,N/A,FALSE,LOCALIZED_R7,"general disclaimer, outside R6 scope"
R7-DEFER-004,GENERAL_APP,App,footer_note,static,معدل العائد الداخلي (IRR) وصافي القيمة الحالية (NPV) محسوبان على كامل التدفقات النقدية للمشروع,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1613,App main render,N/A,FALSE,LOCALIZED_R7,"general disclaimer, outside R6 scope"
R7-DEFER-005,GENERAL_APP,App,footer_note,static,الحقول الرقمية كلها مدخلات محررة — لا قيم ثابتة داخل معادلات التشغيل,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1614,App main render,N/A,FALSE,LOCALIZED_R7,"general disclaimer, outside R6 scope"
R7-DEFER-006,GENERAL_APP,App,methodology_note,static,ملاحظة منهجية: تم توحيد منطق التوصية بين النموذجين على أربعة معايير مرجّحة بالتساوي، وتصحيح ربط فترتي الإنشاء والتشغيل في نموذج الأرض بحيث تتحكمان فعلياً في الجدول الزمني للتدفقات النقدية.,static,always,R7-DEFERRED,,DISPLAY_ONLY,JSX literal line 1617,App main render,N/A,FALSE,LOCALIZED_R7,"general methodology disclaimer, outside R6 scope"
