requirement_id,directive_area,requirement,baseline_disposition,target_owner,rule_or_gate,test_obligation,release_status
W7-HBU-001,HBU,"Sequential legal physical financial maximum-productivity gates",GAP,"HBU Engine","HBU_GATE_INCOMPLETE","Scenario gate ordering tests",HOLD_UNTIL_IMPLEMENTED
W7-PLN-001,Planning,"Planning facts carry source and temporal validity applicable to valuation context",PARTIAL_AUDIT_REQUIRED,"Regulatory/Planning","PLANNING_EVIDENCE_STALE","Temporal planning routing tests",HOLD_UNTIL_IMPLEMENTED
W7-CALC-001,Canonical calculations,"All production numbers originate from governed deterministic calculation engine",REUSE_CONFIRMED,"Existing Engines","CALCULATION_ENGINE_BOUNDARY","UI/report/AI no-alternate-formula regressions",QUALIFICATION_REQUIRED
W7-CALC-002,Semantic validation,"Inputs require semantic type/range/unit/precision/logical validation not finite-only",PARTIAL_REUSE_CONFIRMED,"Existing Contracts/Engines","INCOMPLETE_INPUTS","Boundary and cross-field validation tests",QUALIFICATION_REQUIRED
W7-DCF-001,DCF governance,"Lease-level DCF defines timing convention and provenance of discount/exit cap rates",PARTIAL_AUDIT_REQUIRED,"Valuation Engine","DCF_CONFIGURATION_INCOMPLETE","Timing convention/rate provenance tests",HOLD_UNTIL_IMPLEMENTED
W7-FIN-001,Financial separation,"Separate value from investment metrics and unlevered/debt/equity economics",PARTIAL_AUDIT_REQUIRED,"Financial Engine","FINANCIAL_SCOPE_INCOMPLETE","Metric semantic-owner tests",HOLD_UNTIL_IMPLEMENTED
W7-REC-001,Reconciliation,"No automatic averaging; weights/reasons depend on relevance evidence appropriateness reliability uncertainty",PARTIAL_AUDIT_REQUIRED,"Valuation Intelligence","RECONCILIATION_INCOMPLETE","Method failure/weight/override tests",HOLD_UNTIL_IMPLEMENTED
W7-UNC-001,Uncertainty,"Classify uncertainty and preserve component drivers",GAP,"Valuation Intelligence","UNCERTAINTY_INCOMPLETE","Classification/driver tests",HOLD_UNTIL_IMPLEMENTED
W7-REP-001,Report QA,"Critical scope/evidence/calculation/standards/review gaps block report",GAP,"Report Engine","REPORT_BLOCKED","Completeness matrix tests",HOLD_UNTIL_IMPLEMENTED
W7-REP-002,Professional authority,"Software cannot self-certify licensed valuer status/final professional report",REUSE_CONFIRMED,"Compliance + Report Engine","PROFESSIONAL_REVIEW_REQUIRED","Authority boundary regression",QUALIFICATION_REQUIRED
W7-AI-001,AI boundary,"AI cannot override calculations evidence verification standards activation professional/legal authority or transactions",REUSE_CONFIRMED,"Existing AI/Compliance","PROHIBITED_AUTHORITY_CLAIM","AI policy/red-team regressions",QUALIFICATION_REQUIRED
W7-AI-002,Claim grounding,"Material AI claims bind evidence/assumption refs freshness/confidence or fail insufficient evidence",PARTIAL_AUDIT_REQUIRED,"AI Gateway","INSUFFICIENT_EVIDENCE","Claim-level grounding tests",HOLD_UNTIL_IMPLEMENTED
W7-AI-003,AI provenance,"Persist model/prompt/policy/context hashes for material AI output",PARTIAL_AUDIT_REQUIRED,"AI Gateway","AI_PROVENANCE_INCOMPLETE","Reproducibility/audit tests",HOLD_UNTIL_IMPLEMENTED
W7-GOV-001,Decision provenance,"Conclusion traverses methods assumptions evidence documents standards rules model/calculation version review",GAP,"Decision Provenance Graph","PROVENANCE_GRAPH_INCOMPLETE","Graph completeness tests",HOLD_UNTIL_IMPLEMENTED
W7-GOV-002,Audit,"Material state changes are attributable and append-only",PARTIAL_REUSE_CONFIRMED,"Existing Audit + new workflows","AUDIT_EVENT_MISSING","Transition audit tests",QUALIFICATION_REQUIRED
W7-GOV-003,Saved deals,"New standards/models do not silently migrate/recalculate historical deals",PARTIAL_REUSE_CONFIRMED,"Persistence","MIGRATION_APPROVAL_REQUIRED","No-silent-migration regressions",QUALIFICATION_REQUIRED
W7-CMP-001,Saudi compliance boundary,"Preserve UNLICENSED_DECISION_SUPPORT and transactionAuthorized=false until external human authorization",REUSE_CONFIRMED,"Compliance","COMMERCIAL_EXTERNAL_LAUNCH_HOLD","Compliance regression tests",MUST_PRESERVE
